subject,relation,object,cat
Italian Vegetable Pasta,Health Benefit,Enhance Immune Defense,Health Benefit
意大利蔬菜通心粉,食谱的功效,清热,食谱的功效
Italian Vegetable Pasta,Health Benefit,Clear Heat,Health Benefit
意大利蔬菜通心粉,食谱的功效,润燥,食谱的功效
Italian Vegetable Pasta,Health Benefit,Moisten Dryness,Health Benefit
意大利蔬菜通心粉,食谱的功效,补益脾胃,食谱的功效
Italian Vegetable Pasta,Health Benefit,Tonify Spleen and Stomach,Health Benefit
意大利蔬菜通心粉,食谱的功效,宁神养血,食谱的功效
Italian Vegetable Pasta,Health Benefit,Calm Mind and Nourish Blood,Health Benefit
意大利蔬菜通心粉,食谱的食材构成,通心粉,A1
Italian Vegetable Pasta,Ingredient,Macaroni,A1
意大利蔬菜通心粉,食谱的食材构成,西葫芦,A2
Italian Vegetable Pasta,Ingredient,Zucchini,A2
意大利蔬菜通心粉,食谱的食材构成,彩椒,A2
Italian Vegetable Pasta,Ingredient,Bell Pepper,A2
意大利蔬菜通心粉,食谱的食材构成,蒜末,D
Italian Vegetable Pasta,Ingredient,Minced Garlic,D
意大利蔬菜通心粉,食谱的食材构成,橄榄油,D
Italian Vegetable Pasta,Ingredient,Olive Oil,D
意大利蔬菜通心粉,食谱的食材构成,食盐,D
Italian Vegetable Pasta,Ingredient,Salt,D
意大利蔬菜通心粉,食谱的食材构成,黑胡椒粉,D
Italian Vegetable Pasta,Ingredient,Black Pepper Powder,D
希腊烤羊肉串,食谱的功效,温补脾肾,食谱的功效
Greek Grilled Lamb Skewers,Health Benefit,Warm and Tonify Spleen and Kidney,Health Benefit
希腊烤羊肉串,食谱的功效,益气壮阳,食谱的功效
Greek Grilled Lamb Skewers,Health Benefit,Boost Qi and Strengthen Yang,Health Benefit
希腊烤羊肉串,食谱的功效,增强机体抗病力,食谱的功效
Greek Grilled Lamb Skewers,Health Benefit,Enhance Body's Disease Resistance,Health Benefit
希腊烤羊肉串,食谱的功效,补肾壮腰,食谱的功效
Greek Grilled Lamb Skewers,Health Benefit,Tonify Kidney and Strengthen Lower Back,Health Benefit
希腊烤羊肉串,食谱的功效,温阳活血,食谱的功效
Greek Grilled Lamb Skewers,Health Benefit,Warm Yang and Promote Blood Circulation,Health Benefit
希腊烤羊肉串,食谱的功效,祛寒止痛,食谱的功效
Greek Grilled Lamb Skewers,Health Benefit,Dispel Cold and Relieve Pain,Health Benefit
希腊烤羊肉串,食谱的功效,补益肝肾,食谱的功效
Greek Grilled Lamb Skewers,Health Benefit,Nourish Liver and Kidney,Health Benefit
希腊烤羊肉串,食谱的功效,温中暖体,食谱的功效
Greek Grilled Lamb Skewers,Health Benefit,Warm Middle and Body,Health Benefit
希腊烤羊肉串,食谱的功效,调理内分泌,食谱的功效
Greek Grilled Lamb Skewers,Health Benefit,Regulate Endocrine System,Health Benefit
希腊烤羊肉串,食谱的功效,温肾助阳,食谱的功效
Greek Grilled Lamb Skewers,Health Benefit,Warm Kidney and Assist Yang,Health Benefit
希腊烤羊肉串,食谱的功效,补中益气,食谱的功效
Greek Grilled Lamb Skewers,Health Benefit,Tonify Middle and Boost Qi,Health Benefit
希腊烤羊肉串,食谱的功效,安神散郁,食谱的功效
Greek Grilled Lamb Skewers,Health Benefit,Calm Mind and Relieve Depression,Health Benefit
希腊烤羊肉串,食谱的食材构成,羊腿肉块,B1
Greek Grilled Lamb Skewers,Ingredient,Lamb Leg Meat,B1
希腊烤羊肉串,食谱的食材构成,柠檬汁,D
Greek Grilled Lamb Skewers,Ingredient,Lemon Juice,D
希腊烤羊肉串,食谱的食材构成,干牛至,D
Greek Grilled Lamb Skewers,Ingredient,Dried Oregano,D
希腊烤羊肉串,食谱的食材构成,黑胡椒粉,D
Greek Grilled Lamb Skewers,Ingredient,Black Pepper Powder,D
希腊烤羊肉串,食谱的食材构成,食盐,D
Greek Grilled Lamb Skewers,Ingredient,Salt,D
希腊烤羊肉串,食谱的食材构成,橄榄油,D
Greek Grilled Lamb Skewers,Ingredient,Olive Oil,D
墨西哥番茄洋葱莎莎酱,食谱的功效,清热利咽,食谱的功效
Mexican Tomato Onion Salsa,Health Benefit,Clear Heat and Relieve Throat,Health Benefit
墨西哥番茄洋葱莎莎酱,食谱的功效,促进消化,食谱的功效
Mexican Tomato Onion Salsa,Health Benefit,Promote Digestion,Health Benefit
墨西哥番茄洋葱莎莎酱,食谱的功效,增强免疫机能,食谱的功效
Mexican Tomato Onion Salsa,Health Benefit,Enhance Immune Function,Health Benefit
墨西哥番茄洋葱莎莎酱,食谱的食材构成,番茄,A2
Mexican Tomato Onion Salsa,Ingredient,Tomato,A2
墨西哥番茄洋葱莎莎酱,食谱的食材构成,洋葱,A2
Mexican Tomato Onion Salsa,Ingredient,Onion,A2
墨西哥番茄洋葱莎莎酱,食谱的食材构成,香菜,A2
Mexican Tomato Onion Salsa,Ingredient,Cilantro,A2
墨西哥番茄洋葱莎莎酱,食谱的食材构成,青柠汁,D
Mexican Tomato Onion Salsa,Ingredient,Lime Juice,D
墨西哥番茄洋葱莎莎酱,食谱的食材构成,辣椒粉,D
Mexican Tomato Onion Salsa,Ingredient,Chili Powder,D
墨西哥番茄洋葱莎莎酱,食谱的食材构成,食盐,D
Mexican Tomato Onion Salsa,Ingredient,Salt,D
摩洛哥小米蔬菜粥（Couscous）,食谱的功效,健脾润肺,食谱的功效
Moroccan Couscous Porridge,Health Benefit,Strengthen Spleen and Moisten Lung,Health Benefit
摩洛哥小米蔬菜粥（Couscous）,食谱的功效,补虚益气,食谱的功效
Moroccan Couscous Porridge,Health Benefit,Nourish Deficiency and Boost Qi,Health Benefit
摩洛哥小米蔬菜粥（Couscous）,食谱的功效,提升身体防御力,食谱的功效
Moroccan Couscous Porridge,Health Benefit,Enhance Body's Defense,Health Benefit
摩洛哥小米蔬菜粥（Couscous）,食谱的食材构成,小麦颗粒库斯库斯,A1
Moroccan Couscous Porridge,Ingredient,Wheat Couscous,A1
摩洛哥小米蔬菜粥（Couscous）,食谱的食材构成,洋葱,A2
Moroccan Couscous Porridge,Ingredient,Onion,A2
摩洛哥小米蔬菜粥（Couscous）,食谱的食材构成,胡萝卜,A2
Moroccan Couscous Porridge,Ingredient,Carrot,A2
摩洛哥小米蔬菜粥（Couscous）,食谱的食材构成,西葫芦,A2
Moroccan Couscous Porridge,Ingredient,Zucchini,A2
摩洛哥小米蔬菜粥（Couscous）,食谱的食材构成,孜然粉,D
Moroccan Couscous Porridge,Ingredient,Cumin Powder,D
摩洛哥小米蔬菜粥（Couscous）,食谱的食材构成,食盐,D
Moroccan Couscous Porridge,Ingredient,Salt,D
摩洛哥小米蔬菜粥（Couscous）,食谱的食材构成,橄榄油,D
Moroccan Couscous Porridge,Ingredient,Olive Oil,D
法式南瓜马铃薯焗烤,食谱的功效,补中益气,食谱的功效
French Pumpkin Potato Gratin,Health Benefit,Tonify Middle and Boost Qi,Health Benefit
法式南瓜马铃薯焗烤,食谱的功效,润肺生津,食谱的功效
French Pumpkin Potato Gratin,Health Benefit,Moisten Lung and Generate Fluid,Health Benefit
法式南瓜马铃薯焗烤,食谱的功效,增强抗病能力,食谱的功效
French Pumpkin Potato Gratin,Health Benefit,Enhance Disease Resistance,Health Benefit
法式南瓜马铃薯焗烤,食谱的食材构成,南瓜,A2
French Pumpkin Potato Gratin,Ingredient,Pumpkin,A2
法式南瓜马铃薯焗烤,食谱的食材构成,马铃薯,A2
French Pumpkin Potato Gratin,Ingredient,Potato,A2
法式南瓜马铃薯焗烤,食谱的食材构成,奶油,B2
French Pumpkin Potato Gratin,Ingredient,Cream,B2
法式南瓜马铃薯焗烤,食谱的食材构成,干酪碎,B2
French Pumpkin Potato Gratin,Ingredient,Grated Cheese,B2
法式南瓜马铃薯焗烤,食谱的食材构成,黄油,B2
French Pumpkin Potato Gratin,Ingredient,Butter,B2
法式南瓜马铃薯焗烤,食谱的食材构成,食盐,D
French Pumpkin Potato Gratin,Ingredient,Salt,D
法式南瓜马铃薯焗烤,食谱的食材构成,黑胡椒粉,D
French Pumpkin Potato Gratin,Ingredient,Black Pepper Powder,D
地中海烤香料茄子泥,食谱的功效,清热,食谱的功效
Mediterranean Roasted Spiced Eggplant Dip,Health Benefit,Clear Heat,Health Benefit
地中海烤香料茄子泥,食谱的功效,润肺,食谱的功效
Mediterranean Roasted Spiced Eggplant Dip,Health Benefit,Moisten Lungs,Health Benefit
地中海烤香料茄子泥,食谱的功效,健脾助消化,食谱的功效
Mediterranean Roasted Spiced Eggplant Dip,Health Benefit,Strengthen Spleen and Aid Digestion,Health Benefit
地中海烤香料茄子泥,食谱的功效,提升免疫力,食谱的功效
Mediterranean Roasted Spiced Eggplant Dip,Health Benefit,Boost Immunity,Health Benefit
地中海烤香料茄子泥,食谱的食材构成,茄子,A2
Mediterranean Roasted Spiced Eggplant Dip,Ingredient,Eggplant,A2
地中海烤香料茄子泥,食谱的食材构成,蒜泥,D
Mediterranean Roasted Spiced Eggplant Dip,Ingredient,Mashed Garlic,D
地中海烤香料茄子泥,食谱的食材构成,柠檬汁,D
Mediterranean Roasted Spiced Eggplant Dip,Ingredient,Lemon Juice,D
地中海烤香料茄子泥,食谱的食材构成,橄榄油,D
Mediterranean Roasted Spiced Eggplant Dip,Ingredient,Olive Oil,D
地中海烤香料茄子泥,食谱的食材构成,食盐,D
Mediterranean Roasted Spiced Eggplant Dip,Ingredient,Salt,D
地中海烤香料茄子泥,食谱的食材构成,黑胡椒粉,D
Mediterranean Roasted Spiced Eggplant Dip,Ingredient,Black Pepper Powder,D
西班牙辣茄烩青口贝,食谱的功效,温中补虚,食谱的功效
Spanish Spicy Tomato Mussels,Health Benefit,Warm the Middle and Tonify Deficiency,Health Benefit
西班牙辣茄烩青口贝,食谱的功效,化痰散寒,食谱的功效
Spanish Spicy Tomato Mussels,Health Benefit,Resolve Phlegm and Dispel Cold,Health Benefit
西班牙辣茄烩青口贝,食谱的功效,增强免疫防护,食谱的功效
Spanish Spicy Tomato Mussels,Health Benefit,Enhance Immune Defense,Health Benefit
西班牙辣茄烩青口贝,食谱的食材构成,青口贝,B3
Spanish Spicy Tomato Mussels,Ingredient,Mussels,B3
西班牙辣茄烩青口贝,食谱的食材构成,番茄碎,A2
Spanish Spicy Tomato Mussels,Ingredient,Chopped Tomato,A2
西班牙辣茄烩青口贝,食谱的食材构成,洋葱碎,A2
Spanish Spicy Tomato Mussels,Ingredient,Chopped Onion,A2
西班牙辣茄烩青口贝,食谱的食材构成,干辣椒粉,D
Spanish Spicy Tomato Mussels,Ingredient,Dried Chili Powder,D
西班牙辣茄烩青口贝,食谱的食材构成,蒜末,D
Spanish Spicy Tomato Mussels,Ingredient,Minced Garlic,D
西班牙辣茄烩青口贝,食谱的食材构成,橄榄油,D
Spanish Spicy Tomato Mussels,Ingredient,Olive Oil,D
西班牙辣茄烩青口贝,食谱的食材构成,食盐,D
Spanish Spicy Tomato Mussels,Ingredient,Salt,D
意式青椒牛肉烩面,食谱的功效,补益脾胃,食谱的功效
Italian Green Pepper Beef Pasta,Health Benefit,Tonify Spleen and Stomach,Health Benefit
意式青椒牛肉烩面,食谱的功效,行气止咳,食谱的功效
Italian Green Pepper Beef Pasta,Health Benefit,Regulate Qi and Relieve Cough,Health Benefit
意式青椒牛肉烩面,食谱的功效,增强体质,食谱的功效
Italian Green Pepper Beef Pasta,Health Benefit,Enhance Physical Constitution,Health Benefit
意式青椒牛肉烩面,食谱的食材构成,意面,C
Italian Green Pepper Beef Pasta,Ingredient,Pasta,C
意式青椒牛肉烩面,食谱的食材构成,牛肉片,B1
Italian Green Pepper Beef Pasta,Ingredient,Sliced Beef,B1
意式青椒牛肉烩面,食谱的食材构成,青椒,A2
Italian Green Pepper Beef Pasta,Ingredient,Green Pepper,A2
意式青椒牛肉烩面,食谱的食材构成,洋葱碎,A2
Italian Green Pepper Beef Pasta,Ingredient,Chopped Onion,A2
意式青椒牛肉烩面,食谱的食材构成,番茄酱,D
Italian Green Pepper Beef Pasta,Ingredient,Tomato Sauce,D
意式青椒牛肉烩面,食谱的食材构成,橄榄油,D
Italian Green Pepper Beef Pasta,Ingredient,Olive Oil,D
意式青椒牛肉烩面,食谱的食材构成,食盐,D
Italian Green Pepper Beef Pasta,Ingredient,Salt,D
美国烤鸡翅配蜂蜜芥末汁,食谱的功效,温中助阳,食谱的功效
American Honey Mustard Roasted Chicken Wings,Health Benefit,Warm the Middle and Support Yang,Health Benefit
美国烤鸡翅配蜂蜜芥末汁,食谱的功效,润肺止咳,食谱的功效
American Honey Mustard Roasted Chicken Wings,Health Benefit,Moisten Lungs and Relieve Cough,Health Benefit
美国烤鸡翅配蜂蜜芥末汁,食谱的功效,增强抗病能力,食谱的功效
American Honey Mustard Roasted Chicken Wings,Health Benefit,Enhance Disease Resistance,Health Benefit
美国烤鸡翅配蜂蜜芥末汁,食谱的食材构成,鸡翅,B1
American Honey Mustard Roasted Chicken Wings,Ingredient,Chicken Wings,B1
美国烤鸡翅配蜂蜜芥末汁,食谱的食材构成,蜂蜜,D
American Honey Mustard Roasted Chicken Wings,Ingredient,Honey,D
美国烤鸡翅配蜂蜜芥末汁,食谱的食材构成,黄芥末酱,D
American Honey Mustard Roasted Chicken Wings,Ingredient,Yellow Mustard Sauce,D
美国烤鸡翅配蜂蜜芥末汁,食谱的食材构成,黑胡椒粉,D
American Honey Mustard Roasted Chicken Wings,Ingredient,Black Pepper Powder,D
美国烤鸡翅配蜂蜜芥末汁,食谱的食材构成,食盐,D
American Honey Mustard Roasted Chicken Wings,Ingredient,Salt,D
法式蒜香烤蘑菇,食谱的功效,益胃健脾,食谱的功效
French Garlic Butter Roasted Mushrooms,Health Benefit,Benefit Stomach and Strengthen Spleen,Health Benefit
法式蒜香烤蘑菇,食谱的功效,清肺化痰,食谱的功效
French Garlic Butter Roasted Mushrooms,Health Benefit,Clear Lungs and Resolve Phlegm,Health Benefit
法式蒜香烤蘑菇,食谱的功效,增强免疫机能,食谱的功效
French Garlic Butter Roasted Mushrooms,Health Benefit,Enhance Immune Function,Health Benefit
法式蒜香烤蘑菇,食谱的食材构成,蘑菇,A2
French Garlic Butter Roasted Mushrooms,Ingredient,Mushrooms,A2
法式蒜香烤蘑菇,食谱的食材构成,蒜末,D
French Garlic Butter Roasted Mushrooms,Ingredient,Minced Garlic,D
法式蒜香烤蘑菇,食谱的食材构成,黄油,D
French Garlic Butter Roasted Mushrooms,Ingredient,Butter,D
法式蒜香烤蘑菇,食谱的食材构成,欧芹碎,A2
French Garlic Butter Roasted Mushrooms,Ingredient,Chopped Parsley,A2
法式蒜香烤蘑菇,食谱的食材构成,黑胡椒粉,D
French Garlic Butter Roasted Mushrooms,Ingredient,Black Pepper Powder,D
法式蒜香烤蘑菇,食谱的食材构成,食盐,D
French Garlic Butter Roasted Mushrooms,Ingredient,Salt,D
墨西哥羽衣甘蓝鸡肉沙拉,食谱的功效,补气,食谱的功效
Mexican Kale Chicken Salad,Health Benefit,Tonify Qi,Health Benefit
墨西哥羽衣甘蓝鸡肉沙拉,食谱的功效,健肺,食谱的功效
Mexican Kale Chicken Salad,Health Benefit,Strengthen Lungs,Health Benefit
墨西哥羽衣甘蓝鸡肉沙拉,食谱的功效,理气,食谱的功效
Mexican Kale Chicken Salad,Health Benefit,Regulate Qi,Health Benefit
墨西哥羽衣甘蓝鸡肉沙拉,食谱的功效,化痰,食谱的功效
Mexican Kale Chicken Salad,Health Benefit,Resolve Phlegm,Health Benefit
墨西哥羽衣甘蓝鸡肉沙拉,食谱的功效,增强免疫防御力,食谱的功效
Mexican Kale Chicken Salad,Health Benefit,Enhance Immune Defense,Health Benefit
墨西哥羽衣甘蓝鸡肉沙拉,食谱的食材构成,羽衣甘蓝,A2
Mexican Kale Chicken Salad,Ingredient,Kale,A2
墨西哥羽衣甘蓝鸡肉沙拉,食谱的食材构成,鸡胸肉,B1
Mexican Kale Chicken Salad,Ingredient,Chicken Breast,B1
墨西哥羽衣甘蓝鸡肉沙拉,食谱的食材构成,玉米粒,A1
Mexican Kale Chicken Salad,Ingredient,Corn Kernel,A1
墨西哥羽衣甘蓝鸡肉沙拉,食谱的食材构成,青柠汁,D
Mexican Kale Chicken Salad,Ingredient,Lime Juice,D
墨西哥羽衣甘蓝鸡肉沙拉,食谱的食材构成,橄榄油,D
Mexican Kale Chicken Salad,Ingredient,Olive Oil,D
墨西哥羽衣甘蓝鸡肉沙拉,食谱的食材构成,食盐,D
Mexican Kale Chicken Salad,Ingredient,Salt,D
墨西哥羽衣甘蓝鸡肉沙拉,食谱的食材构成,辣椒粉,D
Mexican Kale Chicken Salad,Ingredient,Chili Powder,D
地中海鲔鱼鹰嘴豆沙拉,食谱的功效,健脾,食谱的功效
Mediterranean Tuna Chickpea Salad,Health Benefit,Strengthen Spleen,Health Benefit
地中海鲔鱼鹰嘴豆沙拉,食谱的功效,益气,食谱的功效
Mediterranean Tuna Chickpea Salad,Health Benefit,Tonify Qi,Health Benefit
地中海鲔鱼鹰嘴豆沙拉,食谱的功效,温肺,食谱的功效
Mediterranean Tuna Chickpea Salad,Health Benefit,Warm Lungs,Health Benefit
地中海鲔鱼鹰嘴豆沙拉,食谱的功效,化痰,食谱的功效
Mediterranean Tuna Chickpea Salad,Health Benefit,Resolve Phlegm,Health Benefit
地中海鲔鱼鹰嘴豆沙拉,食谱的功效,增强体力,食谱的功效
Mediterranean Tuna Chickpea Salad,Health Benefit,Enhance Physical Strength,Health Benefit
地中海鲔鱼鹰嘴豆沙拉,食谱的食材构成,罐装鲔鱼,B3
Mediterranean Tuna Chickpea Salad,Ingredient,Canned Tuna,B3
地中海鲔鱼鹰嘴豆沙拉,食谱的食材构成,鹰嘴豆,A1
Mediterranean Tuna Chickpea Salad,Ingredient,Chickpeas,A1
地中海鲔鱼鹰嘴豆沙拉,食谱的食材构成,番茄丁,A2
Mediterranean Tuna Chickpea Salad,Ingredient,Diced Tomatoes,A2
地中海鲔鱼鹰嘴豆沙拉,食谱的食材构成,洋葱碎,A2
Mediterranean Tuna Chickpea Salad,Ingredient,Minced Onion,A2
地中海鲔鱼鹰嘴豆沙拉,食谱的食材构成,橄榄油,D
Mediterranean Tuna Chickpea Salad,Ingredient,Olive Oil,D
地中海鲔鱼鹰嘴豆沙拉,食谱的食材构成,红酒醋,D
Mediterranean Tuna Chickpea Salad,Ingredient,Red Wine Vinegar,D
地中海鲔鱼鹰嘴豆沙拉,食谱的食材构成,食盐,D
Mediterranean Tuna Chickpea Salad,Ingredient,Salt,D
法式烤苹果焦糖洋葱,食谱的功效,补益脾胃,食谱的功效
French Baked Apple Caramelized Onion,Health Benefit,Nourish Spleen and Stomach,Health Benefit
法式烤苹果焦糖洋葱,食谱的功效,润肺,食谱的功效
French Baked Apple Caramelized Onion,Health Benefit,Moisten Lungs,Health Benefit
法式烤苹果焦糖洋葱,食谱的功效,化痰,食谱的功效
French Baked Apple Caramelized Onion,Health Benefit,Resolve Phlegm,Health Benefit
法式烤苹果焦糖洋葱,食谱的功效,提升免疫力,食谱的功效
French Baked Apple Caramelized Onion,Health Benefit,Boost Immunity,Health Benefit
法式烤苹果焦糖洋葱,食谱的食材构成,苹果,A3
French Baked Apple Caramelized Onion,Ingredient,Apple,A3
法式烤苹果焦糖洋葱,食谱的食材构成,洋葱,A2
French Baked Apple Caramelized Onion,Ingredient,Onion,A2
法式烤苹果焦糖洋葱,食谱的食材构成,黄油,D
French Baked Apple Caramelized Onion,Ingredient,Butter,D
法式烤苹果焦糖洋葱,食谱的食材构成,糖,D
French Baked Apple Caramelized Onion,Ingredient,Sugar,D
法式烤苹果焦糖洋葱,食谱的食材构成,白醋,D
French Baked Apple Caramelized Onion,Ingredient,White Vinegar,D
法式烤苹果焦糖洋葱,食谱的食材构成,食盐,D
French Baked Apple Caramelized Onion,Ingredient,Salt,D
希腊柠檬蒜味烤排骨,食谱的功效,温中,食谱的功效
Greek Lemon Garlic Roasted Ribs,Health Benefit,Warm Middle,Health Benefit
希腊柠檬蒜味烤排骨,食谱的功效,补气,食谱的功效
Greek Lemon Garlic Roasted Ribs,Health Benefit,Tonify Qi,Health Benefit
希腊柠檬蒜味烤排骨,食谱的功效,润燥,食谱的功效
Greek Lemon Garlic Roasted Ribs,Health Benefit,Moisten Dryness,Health Benefit
希腊柠檬蒜味烤排骨,食谱的功效,化痰,食谱的功效
Greek Lemon Garlic Roasted Ribs,Health Benefit,Resolve Phlegm,Health Benefit
希腊柠檬蒜味烤排骨,食谱的功效,增强抵抗力,食谱的功效
Greek Lemon Garlic Roasted Ribs,Health Benefit,Enhance Resistance,Health Benefit
希腊柠檬蒜味烤排骨,食谱的食材构成,猪小排,B1
Greek Lemon Garlic Roasted Ribs,Ingredient,Pork Ribs,B1
希腊柠檬蒜味烤排骨,食谱的食材构成,柠檬汁,D
Greek Lemon Garlic Roasted Ribs,Ingredient,Lemon Juice,D
希腊柠檬蒜味烤排骨,食谱的食材构成,蒜末,A2
Greek Lemon Garlic Roasted Ribs,Ingredient,Minced Garlic,A2
希腊柠檬蒜味烤排骨,食谱的食材构成,干牛至,D
Greek Lemon Garlic Roasted Ribs,Ingredient,Dried Oregano,D
希腊柠檬蒜味烤排骨,食谱的食材构成,橄榄油,D
Greek Lemon Garlic Roasted Ribs,Ingredient,Olive Oil,D
希腊柠檬蒜味烤排骨,食谱的食材构成,食盐,D
Greek Lemon Garlic Roasted Ribs,Ingredient,Salt,D
墨西哥牛肉墨鱼汁饭,食谱的功效,滋阴,食谱的功效
Mexican Beef Squid Ink Rice,Health Benefit,Nourish Yin,Health Benefit
墨西哥牛肉墨鱼汁饭,食谱的功效,润肺,食谱的功效
Mexican Beef Squid Ink Rice,Health Benefit,Moisten Lungs,Health Benefit
墨西哥牛肉墨鱼汁饭,食谱的功效,健脾,食谱的功效
Mexican Beef Squid Ink Rice,Health Benefit,Strengthen Spleen,Health Benefit
墨西哥牛肉墨鱼汁饭,食谱的功效,益气,食谱的功效
Mexican Beef Squid Ink Rice,Health Benefit,Tonify Qi,Health Benefit
墨西哥牛肉墨鱼汁饭,食谱的功效,提升免疫机能,食谱的功效
Mexican Beef Squid Ink Rice,Health Benefit,Enhance Immune Function,Health Benefit
墨西哥牛肉墨鱼汁饭,食谱的食材构成,墨鱼汁米,A1
Mexican Beef Squid Ink Rice,Ingredient,Squid Ink Rice,A1
墨西哥牛肉墨鱼汁饭,食谱的食材构成,牛肉片,B1
Mexican Beef Squid Ink Rice,Ingredient,Beef Slices,B1
墨西哥牛肉墨鱼汁饭,食谱的食材构成,青椒,A2
Mexican Beef Squid Ink Rice,Ingredient,Green Pepper,A2
墨西哥牛肉墨鱼汁饭,食谱的食材构成,洋葱碎,A2
Mexican Beef Squid Ink Rice,Ingredient,Minced Onion,A2
墨西哥牛肉墨鱼汁饭,食谱的食材构成,辣椒粉,D
Mexican Beef Squid Ink Rice,Ingredient,Chili Powder,D
墨西哥牛肉墨鱼汁饭,食谱的食材构成,食盐,D
Mexican Beef Squid Ink Rice,Ingredient,Salt,D
墨西哥牛肉墨鱼汁饭,食谱的食材构成,橄榄油,D
Mexican Beef Squid Ink Rice,Ingredient,Olive Oil,D
法式白酒煮青口,食谱的功效,温中补虚,食谱的功效
French White Wine Mussels,Health Benefit,Warm the Middle and Tonify Deficiency,Health Benefit
法式白酒煮青口,食谱的功效,化痰宽胸,食谱的功效
French White Wine Mussels,Health Benefit,Resolve Phlegm and Relieve Chest Discomfort,Health Benefit
法式白酒煮青口,食谱的功效,增强免疫力,食谱的功效
French White Wine Mussels,Health Benefit,Enhance Immunity,Health Benefit
法式白酒煮青口,食谱的食材构成,青口贝,B3
French White Wine Mussels,Ingredient,Mussels,B3
法式白酒煮青口,食谱的食材构成,白葡萄酒,D
French White Wine Mussels,Ingredient,White Wine,D
法式白酒煮青口,食谱的食材构成,洋葱碎,A2
French White Wine Mussels,Ingredient,Diced Onion,A2
法式白酒煮青口,食谱的食材构成,黄油,D
French White Wine Mussels,Ingredient,Butter,D
法式白酒煮青口,食谱的食材构成,蒜末,D
French White Wine Mussels,Ingredient,Minced Garlic,D
法式白酒煮青口,食谱的食材构成,食盐,D
French White Wine Mussels,Ingredient,Salt,D
法式白酒煮青口,食谱的食材构成,黑胡椒粉,D
French White Wine Mussels,Ingredient,Black Pepper Powder,D
西班牙辣香肠烩饭,食谱的功效,行气活血,食谱的功效
Spanish Chorizo Rice,Health Benefit,Promote Qi Circulation and Invigorate Blood,Health Benefit
西班牙辣香肠烩饭,食谱的功效,温中补虚,食谱的功效
Spanish Chorizo Rice,Health Benefit,Warm the Middle and Tonify Deficiency,Health Benefit
西班牙辣香肠烩饭,食谱的功效,增加机体抵抗力,食谱的功效
Spanish Chorizo Rice,Health Benefit,Increase Body Resistance,Health Benefit
西班牙辣香肠烩饭,食谱的食材构成,大米,A1
Spanish Chorizo Rice,Ingredient,Rice,A1
西班牙辣香肠烩饭,食谱的食材构成,西班牙辣香肠,C
Spanish Chorizo Rice,Ingredient,Spanish Chorizo,C
西班牙辣香肠烩饭,食谱的食材构成,番茄丁,A2
Spanish Chorizo Rice,Ingredient,Diced Tomato,A2
西班牙辣香肠烩饭,食谱的食材构成,青椒丁,A2
Spanish Chorizo Rice,Ingredient,Diced Green Pepper,A2
西班牙辣香肠烩饭,食谱的食材构成,洋葱碎,A2
Spanish Chorizo Rice,Ingredient,Diced Onion,A2
西班牙辣香肠烩饭,食谱的食材构成,橄榄油,D
Spanish Chorizo Rice,Ingredient,Olive Oil,D
西班牙辣香肠烩饭,食谱的食材构成,食盐,D
Spanish Chorizo Rice,Ingredient,Salt,D
希腊原味酸奶黄瓜冷汤,食谱的功效,清热,食谱的功效
Greek Yogurt Cucumber Soup,Health Benefit,Clear Heat,Health Benefit
希腊原味酸奶黄瓜冷汤,食谱的功效,化痰,食谱的功效
Greek Yogurt Cucumber Soup,Health Benefit,Resolve Phlegm,Health Benefit
希腊原味酸奶黄瓜冷汤,食谱的功效,补益正气,食谱的功效
Greek Yogurt Cucumber Soup,Health Benefit,Nourish Vital Qi,Health Benefit
希腊原味酸奶黄瓜冷汤,食谱的功效,提高免疫功能,食谱的功效
Greek Yogurt Cucumber Soup,Health Benefit,Improve Immune Function,Health Benefit
希腊原味酸奶黄瓜冷汤,食谱的食材构成,原味酸奶,B2
Greek Yogurt Cucumber Soup,Ingredient,Plain Yogurt,B2
希腊原味酸奶黄瓜冷汤,食谱的食材构成,黄瓜,A2
Greek Yogurt Cucumber Soup,Ingredient,Cucumber,A2
希腊原味酸奶黄瓜冷汤,食谱的食材构成,蒜泥,D
Greek Yogurt Cucumber Soup,Ingredient,Minced Garlic,D
希腊原味酸奶黄瓜冷汤,食谱的食材构成,干薄荷,D
Greek Yogurt Cucumber Soup,Ingredient,Dried Mint,D
希腊原味酸奶黄瓜冷汤,食谱的食材构成,食盐,D
Greek Yogurt Cucumber Soup,Ingredient,Salt,D
摩洛哥甜椒番茄蛋饼,食谱的功效,健脾开胃,食谱的功效
Moroccan Bell Pepper Tomato Omelette,Health Benefit,Strengthen the Spleen and Stimulate Appetite,Health Benefit
摩洛哥甜椒番茄蛋饼,食谱的功效,清肺化痰,食谱的功效
Moroccan Bell Pepper Tomato Omelette,Health Benefit,Clear the Lungs and Resolve Phlegm,Health Benefit
摩洛哥甜椒番茄蛋饼,食谱的功效,增强抗病力,食谱的功效
Moroccan Bell Pepper Tomato Omelette,Health Benefit,Enhance Disease Resistance,Health Benefit
摩洛哥甜椒番茄蛋饼,食谱的食材构成,蛋,B2
Moroccan Bell Pepper Tomato Omelette,Ingredient,Egg,B2
摩洛哥甜椒番茄蛋饼,食谱的食材构成,彩椒,A2
Moroccan Bell Pepper Tomato Omelette,Ingredient,Bell Pepper,A2
