subject,relation,object,cat
枸杞炒茄子,功效,补益肝肾,功效
枸杞炒茄子,食材构成,茄子,A2
枸杞炒茄子,食材构成,枸杞,A3
枸杞炒茄子,食材构成,食用油,D
枸杞炒茄子,食材构成,盐,D
枸杞炒茄子,食材构成,生抽,D
菊花枸杞茶,功效,清肝明目,功效
菊花枸杞茶,功效,疏风安神,功效
菊花枸杞茶,食材构成,干菊花,D
菊花枸杞茶,食材构成,枸杞,A3
菊花枸杞茶,食材构成,热水,D
黄花菜炒瘦肉,功效,清心除烦,功效
黄花菜炒瘦肉,功效,补虚安神,功效
黄花菜炒瘦肉,食材构成,瘦肉,B1
黄花菜炒瘦肉,食材构成,干黄花菜,A2
黄花菜炒瘦肉,食材构成,食用油,D
黄花菜炒瘦肉,食材构成,盐,D
黄花菜炒瘦肉,食材构成,生抽,D
黄花菜炒瘦肉,食材构成,生粉,D
当归生姜羊肉汤,功效,温经散寒,功效
当归生姜羊肉汤,功效,补血安神,功效
当归生姜羊肉汤,食材构成,羊肉,B1
当归生姜羊肉汤,食材构成,当归,D
当归生姜羊肉汤,食材构成,生姜,D
当归生姜羊肉汤,食材构成,清水,D
当归生姜羊肉汤,食材构成,盐,D
香菇木耳红枣粥,功效,补气活血,功效
香菇木耳红枣粥,功效,安神除烦,功效
香菇木耳红枣粥,食材构成,大米,A1
香菇木耳红枣粥,食材构成,干香菇,A2
香菇木耳红枣粥,食材构成,干木耳,A2
香菇木耳红枣粥,食材构成,红枣,A3
香菇木耳红枣粥,食材构成,清水,D
香菇木耳红枣粥,食材构成,盐,D
虫草花蒸瘦肉,功效,补肺益肾,功效
虫草花蒸瘦肉,功效,安神补虚,功效
虫草花蒸瘦肉,食材构成,瘦肉,B1
虫草花蒸瘦肉,食材构成,虫草花,D
虫草花蒸瘦肉,食材构成,生抽,D
虫草花蒸瘦肉,食材构成,盐,D
虫草花蒸瘦肉,食材构成,生粉,D
丹参牛腩汤,功效,活血化瘀,功效
丹参牛腩汤,功效,安神养心,功效
丹参牛腩汤,食材构成,牛腩,B1
丹参牛腩汤,食材构成,丹参,D
丹参牛腩汤,食材构成,生姜,D
丹参牛腩汤,食材构成,清水,D
丹参牛腩汤,食材构成,盐,D
玉米百合鸡汤,功效,润燥清热,功效
玉米百合鸡汤,功效,安神健脾,功效
玉米百合鸡汤,食材构成,鸡腿肉,B1
玉米百合鸡汤,食材构成,玉米,A2
玉米百合鸡汤,食材构成,鲜百合,A2
玉米百合鸡汤,食材构成,清水,D
玉米百合鸡汤,食材构成,盐,D
银耳绿豆百合羹,功效,清热解毒,功效
银耳绿豆百合羹,功效,滋阴安神,功效
银耳绿豆百合羹,食材构成,干银耳,A2
银耳绿豆百合羹,食材构成,绿豆,A1
银耳绿豆百合羹,食材构成,干百合,A2
银耳绿豆百合羹,食材构成,冰糖,D
银耳绿豆百合羹,食材构成,清水,D
西兰花炒虾仁,功效,增强体力,功效
西兰花炒虾仁,功效,舒缓疲劳,功效
西兰花炒虾仁,食材构成,虾仁,B3
西兰花炒虾仁,食材构成,西兰花,A2
西兰花炒虾仁,食材构成,食用油,D
西兰花炒虾仁,食材构成,盐,D
西兰花炒虾仁,食材构成,料酒,D
山药炒木耳,功效,补脾养胃,功效
山药炒木耳,功效,安神滋阴,功效
山药炒木耳,食材构成,山药,A1
山药炒木耳,食材构成,干木耳,A2
山药炒木耳,食材构成,食用油,D
山药炒木耳,食材构成,盐,D
山药炒木耳,食材构成,生抽,D
银耳雪梨汤,功效,润肺清热,功效
银耳雪梨汤,功效,安神除烦,功效
银耳雪梨汤,食材构成,干银耳,A2
银耳雪梨汤,食材构成,雪梨,A3
银耳雪梨汤,食材构成,冰糖,D
银耳雪梨汤,食材构成,清水,D
